question,model_answer,expected_answer,category,response_time,Human_EvaluatorScore,Max_Score
"Which of the following foods takes the least energy to produce? Select all that apply: 
1) Meat 
2) Bread 
3) Fresh vegetables 
4) Cereal","Question:
Which of the following foods takes the least energy to produce? Select all that apply: 
1) Meat 
2) Bread 
3) Fresh vegetables 
4) Cereal

Answer:
<strong>**Meat**</strong> and **cereal** have the highest carbon marks, while **fresh vegetables** and **bread** have the lowest.",['Fresh vegetables'],Food and Sustainability,39.79963946,1,1
"Which of the following are carbon sources? Select all that apply: 
1) Fossil fuel combustion 
2) Volcanic eruptions 
3) Forests 
4) Oceans","Question:
Which of the following are carbon sources? Select all that apply: 
1) Fossil fuel combustion 
2) Volcanic eruptions 
3) Forests 
4) Oceans

Answer:
**Fossil fuel combustion** and **volcanic eruptions** are known carbon sources, along with **deforestation**, which contributes to **atmospheric alteration**.","['Fossil fuel combustion', 'Volcanic eruptions']",Carbon Sources,39.78644633,2,2
"Which of the following are carbon sinks? Select all that apply: 
1) Soil and rocks 
2) Fossil fuels 
3) Forests 
4) Oceans","Question:
Which of the following are carbon sinks? Select all that apply: 
1) Soil and rocks 
2) Fossil fuels 
3) Forests 
4) Oceans

Answer:
**Fossil fuels** are considered **carbon sources** because of their carbon releases during extraction and use. Forests and oceans are commonly listed as **carbon sinks**.","['Soil and rocks', 'Forests', 'Oceans']",Carbon Sinks,40.34598756,2,3
"Forests are carbon sinks because they remove carbon dioxide from the atmosphere through ____________. Select one: 
1) Combustion 
2) Respiration 
3) Photosynthesis 
4) Decomposition","Question:
Forests are carbon sinks because they remove carbon dioxide from the atmosphere through ____________. Select one: 
1) Combustion 
2) Respiration 
3) Photosynthesis 
4) Decomposition

Answer:
**Forests</strong> and other <strong>natural habitats</strong> play a crucial role in regulating carbon gas emissions, helping to keep the atmosphere stable. Forests absorb carbon dioxide through **photosynthesis**, while respiration releases it back into the atmosphere.",Photosynthesis,Carbon Cycle,50.97523236,1,1
"Human activities add greenhouse gases to the atmosphere; therefore, we are carbon ______. Select one: 
1) Sinks 
2) Sources","Question:
Human activities add greenhouse gases to the atmosphere; therefore, we are carbon ______. Select one: 
1) Sinks 
2) Sources

Answer:
**sources** refer to human activities that contribute to climate change, including the use of **fossil fuels**.",Sources,Human Impact,32.82452583,1,1
"The total set of carbon emissions caused by an individual is called what? Select one: 
1) Carbon cycle 
2) Carbon handprint 
3) Carbon footprint 
4) Carbon summary","Question:
The total set of carbon emissions caused by an individual is called what? Select one: 
1) Carbon cycle 
2) Carbon handprint 
3) Carbon footprint 
4) Carbon summary

Answer:
**Carbon footprint**",Carbon footprint,Carbon Footprint,20.7707355,1,1
"The main human activity that adds to an individual's carbon footprint is. Select one: 
1) Usage of alternative energies (wind, solar, etc) 
2) Respiration and growth 
3) Photosynthesis by plants 
4) Usage of fossil fuels for energy","Question:
The main human activity that adds to an individual's carbon footprint is. Select one: 
1) Usage of alternative energies (wind, solar, etc) 
2) Respiration and growth 
3) Photosynthesis by plants 
4) Usage of fossil fuels for energy

Answer:
<strong>energy from fossil fuels</strong>, which contribute to **carbon gas emissions**.",Usage of fossil fuels for energy,Human Impact,28.83986449,1,1
"Why should you be concerned with the size of your carbon footprint? Select one: 
1) Sometimes it's hard to find shoes that are the right size 
2) If we don't decrease greenhouse gas emissions, Earth will continue to cool 
3) Greenhouse gases are becoming scarce in Earth's atmosphere 
4) Increases in greenhouse gases in the atmosphere are contributing to global climate change","Question:
Why should you be concerned with the size of your carbon footprint? Select one: 
1) Sometimes it's hard to find shoes that are the right size 
2) If we don't decrease greenhouse gas emissions, Earth will continue to cool 
3) Greenhouse gases are becoming scarce in Earth's atmosphere 
4) Increases in greenhouse gases in the atmosphere are contributing to global climate change

Answer:
**carbon footprint**, also known as **greenhouse gas emissions**, is the total amount of **greenhouse gas emissions** produced by an individual, organization, event, product, or service.",Increases in greenhouse gases in the atmosphere are contributing to global climate change,Awareness,46.83605671,0,1
"You can help decrease your carbon footprint by... Select all that apply: 
1) Buying and eating locally-produced food 
2) Lessening your amount of driving 
3) Recycling 
4) Decreasing your water and electricity usage","Question:
You can help decrease your carbon footprint by... Select all that apply: 
1) Buying and eating locally-produced food 
2) Lessening your amount of driving 
3) Recycling 
4) Decreasing your water and electricity usage

Answer:
**recycling**, 
**fewering your driving**, 
**decreasing your amount of flying**.","['Buying and eating locally-produced food', 'Lessening your amount of driving', 'Recycling', 'Decreasing your water and electricity usage']",Carbon Footprint Reduction,33.00875258,1,4
"The average temperature of Earth is rising. Select one: 
1) True 
2) False","Question:
The average temperature of Earth is rising. Select one: 
1) True 
2) False

Answer:
**True**. Global warmingQuestion links to a rising in average temperatures of the Earth.",TRUE,Climate Change,31.01017618,1,1
"What gas is increasing in large amounts due to human activities? Select one: 
1) Water vapor 
2) Carbon dioxide 
3) Oxygen 
4) Gasoline","Question:
What gas is increasing in large amounts due to human activities? Select one: 
1) Water vapor 
2) Carbon dioxide 
3) Oxygen 
4) Gasoline

Answer:
**carbon dioxide**",Carbon dioxide,Greenhouse Gases,21.06172013,1,1
"The Earth would freeze if we did not have which of the following? Select one: 
1) The greenhouse effect 
2) Volcanoes 
3) Plants 
4) Magnets","Question:
The Earth would freeze if we did not have which of the following? Select one: 
1) The greenhouse effect 
2) Volcanoes 
3) Plants 
4) Magnets

Answer:
**Plants** and **algae** play a crucial role in the carbon cycle by fixing carbon and releasing **oxygen**.",The greenhouse effect,Climate Science,34.90740466,0,1
"Which one of these does NOT add CO2 to the atmosphere? Select one: 
1) Cooking with gas 
2) Planting trees 
3) Burning wood 
4) Riding in a bus","Question:
Which one of these does NOT add CO2 to the atmosphere? Select one: 
1) Cooking with gas 
2) Planting trees 
3) Burning wood 
4) Riding in a bus

Answer:
**Burning wood** does not contribute to the carbon emissions footprint, as it releases carbon into the atmosphere.",Planting trees,Carbon Sources,33.42136049,0,1
"Why does too much carbon dioxide in the atmosphere cause climate change? Select one: 
1) It cools down our planet 
2) It blocks out UV rays 
3) It traps heat and warms up our planet 
4) It lets sunlight escape","Question:
Why does too much carbon dioxide in the atmosphere cause climate change? Select one: 
1) It cools down our planet 
2) It blocks out UV rays 
3) It traps heat and warms up our planet 
4) It lets sunlight escape

Answer:
Carbon carbon releases cause **climate change**,
noting that itQuestion:
there is a scientific consensus that climate change is due to human activities, primarily the burning of fossil fuels and deforestation, which increase greenhouse gases in the atmosphere and cause climatic shifts.",It traps heat and warms up our planet,Climate Change,60.45639849,0,1
"The food we eat adds to our______ Select one: 
1) Hair style 
2) Carbon footprint 
3) Beauty","Question:
The food we eat adds to our______ Select one: 
1) Hair style 
2) Carbon footprint 
3) Beauty

Answer:
carbon emissions footprint, since food contributes to our **carbon emissions footprint**!",Carbon footprint,Carbon Footprint,29.04447627,1,1
"Washable, hard plastic plates add less to the carbon footprint of your lunch than disposable paper plates. Select one: 
1) True 
2) False","Question:
Washable, hard plastic plates add less to the carbon footprint of your lunch than disposable paper plates. Select one: 
1) True 
2) False

Answer:
**True**: 
**reusable plastic plates**
**exert a lower carbon impact than disposable paper plates**.",TRUE,Waste and Sustainability,35.36239505,1,1
"What is it called when carbon is always traveling from place to place and taking different forms in the process? Select one: 
1) Fun 
2) The Obama Effect 
3) Chocolate Chip Cookie 
4) Carbon Cycle","Question:
What is it called when carbon is always traveling from place to place and taking different forms in the process? Select one: 
1) Fun 
2) The Obama Effect 
3) Chocolate Chip Cookie 
4) Carbon Cycle

Answer:
**4. Carbon footprint**",Carbon Cycle,Carbon Cycle,22.91360545,0,1
